PKSJ0408-6544,04:08:20,-65:45:09,6.5,-1.09,-1.12,USS
PKSJ1958-5509,19:58:28,-55:09:12,6,NA,-0.71,USS
PKSJ1935-4620,19:35:56,-46:20:41,13,-0.95,-0.95,USS
PKSJ0519-4546,05:19:49,-45:46:44,29,NA,-0.97,USS
PKS J0042-4414,00:42:09,-44:14:15,15.4,-0.84,-0.84,USS
PKS J0440-4333,04:40:17,-43:33:08,8,-0.23,-0.23,Flat
PKSJ0024-4202,00:22:25,-42:02:03,2.9,NA,0.4,None
PKSJ0010-4153,00:10:52,-41:53:10,4.3,-0.95,-0.71,USS
PKSJ1830-3602,18:30:58,-36:02:30,6.9,-1.31,-1.05,USS
PKSJ0044-3530,00:44:41,-35:30:41,2.6,-0.64,-0.64,SSS
PKSJ1154-3505,11:54:21,-35:05:29,6.2,-0.57,-0.49,Flat
PKSJ2248-3235,22:48:38,-32:35:52,1,-0.15,-0.15,Flat
PKSJ2151-3027,21:51:55,-30:27:53,1.2,0.08,0.08,Flat
PKSJ1924-2914,19:24:51,-29:14:31,5.7,NA,-0.7,
PKSJ2152-2828,21:52:03,-28:28:29,2.9,-0.55,-0.55,Steep
PKSJ0444-2809,04:44:36,-28:09:44,3.7,-0.85,-0.85,USS
PKSJ0453-2807,04:53:14,-28:07:37,2.5,-0.12,-0.37,Flat
PKSJ2219-2756,22:19:42,-27:56:20,2,-0.97,-0.97,USS
PKSJ0351-2744,03:51:35,-27:44:33,2.6,-0.81,-1.35,USS
PKSJ0025-2602,00:25:49,-26:02:12,8.8,-0.45,-0.48,Flat
PKSJ1517-2422,15:17:41,-24:22:19,2,0.05,0.05,Flat
PKSJ0240-2309,02:40:08,-23:09:15,6.3,NA,0.55,Flat
PKSJ2131-2036,21:31:01,-20:36:56,2.7,-0.83,0.85,None
PKSJ2137-2036,21:37:50,-20:36:56,4,NA,-0.7,
PKSJ1248-1959,12:48:23,-19:59:18,5.1,-0.5,-0.44,Flat
PKSJ0837-1951,08:37:11,-19:51:55,4.7,-0.78,-0.78,USS
PKSJ2206-1835,22:06:10,-18:35:38,5.5,-0.31,-0.31,Flat
PKSJ2129-1821,21:29:21,-18:21:22,1,-0.15,-0.15,Flat
PKSJ0409-1757,04:09:06,-17:57:08,1.9,-0.75,-0.62,Steep
3C444,22:14:25,-17:01:34,4.6,-0.99,-1.38,USS
PKSJ1130-1449,11:30:07,-14:49:27,5.6,0.13,0.13,Flat
PKSJ0943-0819,09:43:36,-8:19:32,2.8,-0.51,-0.5,Steep
PKSJ1510-0543,15:10:53,-5:43:07,3.3,-0.47,-0.5,Steep
3C446,22:25:47,-4:57:01,7.4,-0.48,-0.48,Flat
3C353,17:20:28,-0:58:46,31.2,-0.78,-1.14,USS
PKSJ0059+0006,00:59:05,00:06:51,2.5,-0.42,-0.38,Flat
PKSJ0022+0014,00:22:25,00:14:56,2.9,-0.44,-0.47,Flat
3C348,01:37:41,04:59:34,23.4,-1.02,-1.01,USS
PKSJ0323+0534,03:23:20,05:34:11,2.8,-0.84,-0.84,USS
3C274,12:30:49,12:23:28,138.5,-0.65,-0.73,USS
PKSJ0318+1628,03:18:57,16:28:32,8,-0.31,-0.37,Flat
3C138,05:21:09,16:38:22,9.4,-0.53,-0.54,Steep
PKSJ0534+1927,05:34:44,19:27:21,7,-0.63,-0.49,Flat
PKSJ1330+2509,13:30:37,25:09:10,7,-0.54,-0.48,Flat
PKSJ1609+2641,16:09:13,26:41:29,4.8,NA,-0.7,
3C123,04:37:04,29:40:13,49.7,-0.79,-0.76,USS
3C286,13:31:08,30:30:33,15,-0.41,-0.51,Steep
3C48,01:37:41,33:09:35,15.8,-0.76,-0.74,USS
3C405,19:59:28,40:44:02,740,-1.08,-1.07,USS
3C147,05:42:36,49:51:07,22.9,-0.7,-0.64,Steep
3C295,14:11:20,52:12:09,22.2,-0.7,-0.71,USS
,HH:MM:SS.00,DD:MM:SS.0,[Jy],Specfind,fit,
Source,RaJ2000,DecJ2000,S(1.4GHz),Spectral index (Î±),,Spectral type