3C273,1226+023,0.158,VLBI,flat,MgII 11A Hbeta 86A O[III] 24A
3C48,0134+329,0.367,VLBI,steep,MgII 10A O[III] 12A Hbeta 28A
1510-08,1510-089,0.361, ,flat,MgII
3C215,0903+169,0.411, ,steep,MgII
4C21.35,1222+216,0.434, ,,MgII
1327-21,1327-214,0.528, ,steep,MgII
3C279,1253-055,0.538,VLBI,flat,MgII
3C334,1618+177,0.555, ,,MgII
3C275.1,1241+166,0.557, ,steep,MgII
3C345,1641+399,0.595,VLBI,flat,MgII
3C261,1132+304,0.614, ,,MgII
3C380,1828+487,0.692,VLBI,steep,MgII
1354+19,1354+195,0.720, ,steep,MgII Hdelta
3C138,0518+166,0.760,VLBI,steep,MgII CIII]
3C309.1,1458+718,0.904,VLBI,steep,MgII CIII]
1127-14,1127-145,1.187, ,flat,MgII CIII]