3C48,radec bpcal,01:37:41.30,33:09:35.1,(1408.0 23780.0 2.465 -0.004 -0.1251)
3C123,radec bpcal,04:37:04.3750,29:40:13.820,(1408.0 23780.0 2.525 0.246 -0.1638)
3C161,radec bpcal,06:27:10.1,-05:53:04.77,(1408.0 10550.0 1.250 0.726 -0.2286)
#
0025-2602,radec gaincal,00:25:49.15625,-26:02:12.6168
J0106-4034,radec gaincal,01:06:45.108,-40:34:19.96
PKS0237-233,radec gaincal,02:40:08.1745,-23:09:15.730
B0252-712,radec gaincal,02:52:46.157,-71:04:35.28
CTA21,radec gaincal,03:18:57.802658,16:28:32.698500
PKS0407-658,radec gaincal,04:08:20.380,-65:45:09.08
J0440-4333,radec gaincal,04:40:17.179977,-43:33:08.60402
3C138,radec gaincal,05:21:09.89,16:38:22.1
J0521-207,radec gaincal,05:21:38.8950,-20:47:39.388
J0522-3627,radec gaincal,05:22:57.9846,-36:27:30.850
#
0114-47,radec target,01:16:25,-47:22:40
0211-47,radec target,02:13:23,-47:43:30
MRCB0319-454, radec target,03:20:57.5,-45:15:12
0503-286,radec target,05:05:49,-28:35:20
0634-20,radec target,06:36:32,-20:35:04