c 2011 RAS, MNRAS 000, 1–18
                                                                                                                  Table 8.        TABLE OF DATA FOR CSS AND GPS CANDIDATES AND SOURCES

                                      Source & Tag1                      RA                    Dec.             R mag.          Redshift         Type         αf it 2        ∆ αf it             5
                                                                                                                                                                                                α2.7         Physical                                           PMN                             AT20G           References
                                                                                                                                                                                                               Size           1.4 GHz          2.7 GHz          5 GHz          8.4 GHz          20 GHz
                                                                                                                                                                                                               kpc               Jy               Jy              Jy              Jy              Jy

                                PKS J0024−4202 G,k                  00 24 42.95          −42 02 03.5            20.2            0.937            G            −0.92        0.008               −0.77         15.0             2.78∗            2.93∗            1.85∗          0.91∗            0.29            1,2,3
                                PKS J0025−2602 C,k                  00 25 49.18          −26 02 12.7            18.8            0.322            G            −0.54        0.02                −0.70         3.2              8.37∗            5.94∗            3.64∗          2.15∗            0.98            4
                                PKS J0116−2052 C,k                  01 16 51.47          −20 52 06.5            21.6            1.41             G            −0.76        0.02                −1.07         6.0              3.81∗            2.44∗            1.27∗          0.64∗            0.24            2,5,6
                                PKS J0203−4349 C,k                  02 03 40.75          −43 49 50.9            18.7            0.45p            G            −0.73        0.01                −0.85         8.6              2.67∗            1.81∗            1.03∗          0.58∗            0.23            1
                                PKS J0240−2309 G,k                  02 40 08.13          −23 09 15.7            16.1            2.223            Q            −0.52        0.009               −0.76         8.5              4.4              2.41             3.34           2.2              0.90            3,7,8
                                PKS J0252−7104 C,k                  02 52 46.29          −71 04 33.9            19.2            0.568            G            −1.02        0.006               −1.14         1.6              5.59∗            3.42∗            1.69∗          0.80∗            0.32            1,4
                                PKS J0420−6223 C,k                  04 20 56.17          −62 23 38.2            >21.5           0.81p            G            −1.10        0.005               −1.12         15.9             3.26∗            1.94∗            0.93∗          0.47∗            0.17            5
                                PKS J0616−3456 C,k                  06 16 35.97          −34 56 17.6            18.7            0.329            G            −0.56        0.006               −0.63         8.9              2.7              1.96             1.31           0.78             0.44            1,6,7
                                PKS J0943−0819 G,k                  09 43 37.01          −08 19 30.7            17.9            0.228            G            −0.78        0.001               −0.79         3.8              2.48             1.73             1.12           0.75             0.33            9,10
                                PKS J1154−3505 G,k                  11 54 21.79          −35 05 29.1            17.8            0.258            G            −0.69        0.001               −0.66         0.7              6.1              4.12             2.56           1.92             0.89            1
                                PKS J1218−4600 C,k                  12 18 06.26          −46 00 30.2            18.9            0.529            Q            −0.53        0.007               −0.82         6.9              4.6              3.3              2.29           1.27             0.70            1,2,7
                                PKS J1223−4235 C,k                  12 23 43.40          −42 35 32.2            15.7            0.176            G            −0.63        0.03                −0.78         6.2              2.73             1.62             1.10           0.63             0.33            1,11,12,13
                                PKS J1248−1959 G,k                  12 48 23.87          −19 59 18.4            20.3            1.275            Q            −0.84        0.0005              −0.76         12.6             4.9              3.94             2.42           1.36             0.69            6,14
                                PKS J1308−0950 C,k                  13 08 39.06          −09 50 32.1            18.7            0.464            G            −0.54        0.004               −0.69         2.7              4.26             2.88             1.88           1.11             0.73            1
                                PKS J1311−2216 C                    13 11 39.37          −22 16 41.4            ...             0.8              Q            −1.04        0.01                −1.30         15.8             5.24             2.43             1.24           0.45             0.19            5,14
                                PKS J1323−4452 C,k                  13 23 04.25          −44 52 33.1            18.6            1.95             Q            −0.86        0.007               −0.88         17.0             3.47             1.79             1.06           0.52             0.25            1
                                PKS J1526−1351 C,k                  15 26 59.47          −13 51 00.1            19.6            1.687            Q            −0.52        0.009               −0.58         3.4              2.4              1.7              1.31           0.82             0.39            7,15
                                PKS J1744−5144 G,k                  17 44 25.43          −51 44 45.7            20.8            0.63p            G            −0.57        0.003               −0.72         0.4              ...              4.6              3.90           2.37             1.24            1,2,16,27
                                PKS J1818−5158 C,k                  18 18 07.11          −51 58 11.1            ...             0.48p            Q            −1.30        0.005               −1.51         16.1             3.5              1.6              0.72           0.38             0.07            1
                                PKS J1819−6345 C,k                  18 19 34.99          −63 45 48.2            15.6            0.0627           G            −0.86        0.005               −0.92         0.5              13.34∗           8.80∗            5.14∗          2.95∗            1.71            1,8,18
                                                                                                                                0.12p                                                                                         7.12∗            3.54∗            1.32∗          0.51∗




                                                                                                                                                                                                                                                                                                                                   An unbiased sample of bright CSS and GPS Sources
                                PKS J1830−3602 G,k                  18 30 58.88          −36 02 30.3            14.1                             G            −1.47        0.003               −1.34         3.4                                                                                0.14            1
                                PKS J1939−6342 G,k                  19 39 24.83          −63 42 45.3            17.5            0.183            G            −1.30        2 × 10−6            −1.02         0.2              16.4             11.5             5.66           3                0.96            4,7
                                PKS J1957−4222 C,k                  19 57 15.31          −42 22 20.1            16.5            0.82p            Q            −0.93        0.009               −0.95         15.2             3.25∗            1.90∗            0.92∗          0.43∗            0.15            1
                                PKS J2011−0644 G,k                  20 11 14.23          −06 44 03.4            21.5            0.547            G            −0.74        0.002               −0.73         0.2              2.60             2.09             1.44           0.77             0.37            9,19
                                PKS J2137−2042 C,k                  21 37 50.02          −20 42 31.5            19.3            0.636            G            −0.57        0.02                −0.82         1.7              ...              2.49             1.55           0.76             0.41            4,8
                                PKS J2152−2828 C                    21 52 03.79          −28 28 28.7            19.2            0.479            G            −0.59        0.007               −0.67         11.9             2.75∗            1.98∗            1.25∗          0.75∗            0.37            5
                                N OTES .– The full version of this table is available in the online version of this paper as Supporting Information. All ﬂux densities listed are from observer frame frequencies and this is listed for each catalogue. 1 Tag for CSS or GPS candidate or source in this catalogue, k indicates
                              already catalogued as a CSS or GPS source, P Photometric redshift from Burgess & Hunstead 2006 (all other redshifts are spectroscopic), 2 αf it is the spectral index given by our least squares spectral ﬁt across the existing data for each source. For GPS sources, this spectral
                              index is the spectral index above the peak of the radio spectrum. The error on αf it , given by the sum of the residuals of the least-squares power-law spectral ﬁt divided by the number of data points is given in the next column. ∗ Indicates that this ﬂux density is new and
                               previously unpublished, from C1813 (See § 3.2); otherwise the ﬂux density measurements are from PKSCAT90. In the case of C1813 measurements in Column 12 (2.7 GHz), the ﬂux densities were measured at 2.3 GHz, whereas PKSCAT90 ﬂux densities were measured at 2.7 GHz.
                                                                                              All other ﬂux densities are from the catalogues indicated. Column (5) refers to Galaxy (G) or quasar (Q) or empty ﬁeld (EF) in the SuperCOSMOS science archive.
                                R EFERENCES .– (1) Burgess & Hunstead 2006, (2) di Serego-Alighieri et al. 1994, (3) de Vries, Barthel & Hes 1995, (4) Tadhunter et al. 1993, (5) McCarthy et al. 1996, (6) Kapahi et al. 1998, (7) Edwards & Tingay 2004, (8) Holt et al. 2008, (9) O’Dea 1998, (10) O’Dea & Baum
                                              1997, (11) Simpson et al. 1993, (12) Safouris, Hunstead & Prouton 2003, (13) Johnston et al. 2005, (14) Costa 2002, (15) Hewitt & Burbidge 1989, (16) Labiano et al. 2007, (17) Jauncey et al. 2003, (18) Danziger & Goss 1979, (19) Snellen et al. 2002.




                                                                                                                                                                                                                                                                                                                                   13
